layer,layer_fraction,pooling,label,seed,accuracy,balanced_accuracy,chance_accuracy,above_chance,n_test
5,0.25,mean_all,mean_all,42,0.96875,0.96875,0.25,True,96
11,0.5,mean_all,mean_all,42,0.9270833333333334,0.9270833333333334,0.25,True,96
17,0.75,mean_all,mean_all,42,0.9375,0.9375,0.25,True,96
23,1.0,mean_all,mean_all,42,0.9375,0.9375,0.25,True,96
5,0.25,content_only,content_only,42,0.8958333333333334,0.8958333333333334,0.25,True,96
11,0.5,content_only,content_only,42,0.84375,0.8437499999999999,0.25,True,96
17,0.75,content_only,content_only,42,0.8125,0.8125,0.25,True,96
23,1.0,content_only,content_only,42,0.8854166666666666,0.8854166666666666,0.25,True,96
5,0.25,last_content,last_content,42,0.7708333333333334,0.7708333333333333,0.25,True,96
11,0.5,last_content,last_content,42,0.8020833333333334,0.8020833333333334,0.25,True,96
17,0.75,last_content,last_content,42,0.7083333333333334,0.7083333333333333,0.25,True,96
23,1.0,last_content,last_content,42,0.6979166666666666,0.6979166666666666,0.25,True,96
5,0.25,mean_all,scramble_control,42,0.7708333333333334,0.7708333333333334,0.25,True,96
11,0.5,mean_all,scramble_control,42,0.78125,0.78125,0.25,True,96
17,0.75,mean_all,scramble_control,42,0.7708333333333334,0.7708333333333333,0.25,True,96
23,1.0,mean_all,scramble_control,42,0.875,0.875,0.25,True,96
5,0.25,mean_all,mean_all_seed99,99,0.9479166666666666,0.9479166666666666,0.25,True,96
11,0.5,mean_all,mean_all_seed99,99,0.9270833333333334,0.9270833333333334,0.25,True,96
17,0.75,mean_all,mean_all_seed99,99,0.90625,0.90625,0.25,True,96
23,1.0,mean_all,mean_all_seed99,99,0.9479166666666666,0.9479166666666667,0.25,True,96
